Prefecture,Date1,Date2,Forecast Cases
Aichi,2026-02-01,2026-02-22,88.0
Akita,2026-02-01,2026-02-22,6.0
Aomori,2026-02-01,2026-02-22,4.0
Chiba,2026-02-01,2026-02-22,56.0
Ehime,2026-02-01,2026-02-22,16.0
Fukui,2026-02-01,2026-02-22,12.0
Fukuoka,2026-02-01,2026-02-22,181.0
Fukushima,2026-02-01,2026-02-22,54.0
Gifu,2026-02-01,2026-02-22,23.0
Gunma,2026-02-01,2026-02-22,68.0
Hiroshima,2026-02-01,2026-02-22,36.0
Hokkaido,2026-02-01,2026-02-22,133.0
Hyogo,2026-02-01,2026-02-22,184.0
Ibaraki,2026-02-01,2026-02-22,32.0
Ishikawa,2026-02-01,2026-02-22,16.0
Iwate,2026-02-01,2026-02-22,21.0
Kagawa,2026-02-01,2026-02-22,5.0
Kagoshima,2026-02-01,2026-02-22,48.0
Kanagawa,2026-02-01,2026-02-22,44.0
Kochi,2026-02-01,2026-02-22,19.0
Kumamoto,2026-02-01,2026-02-22,103.0
Kyoto,2026-02-01,2026-02-22,38.0
Mie,2026-02-01,2026-02-22,65.0
Miyagi,2026-02-01,2026-02-22,50.0
Miyazaki,2026-02-01,2026-02-22,0.0
Nagano,2026-02-01,2026-02-22,10.0
Nagasaki,2026-02-01,2026-02-22,28.0
Nara,2026-02-01,2026-02-22,13.0
Niigata,2026-02-01,2026-02-22,28.0
Oita,2026-02-01,2026-02-22,34.0
Okayama,2026-02-01,2026-02-22,37.0
Okinawa,2026-02-01,2026-02-22,10.0
Osaka,2026-02-01,2026-02-22,261.0
Saga,2026-02-01,2026-02-22,6.0
Saitama,2026-02-01,2026-02-22,40.0
Shiga,2026-02-01,2026-02-22,20.0
Shimane,2026-02-01,2026-02-22,12.0
Shizuoka,2026-02-01,2026-02-22,39.0
Tochigi,2026-02-01,2026-02-22,25.0
Tokushima,2026-02-01,2026-02-22,16.0
Tokyo,2026-02-01,2026-02-22,61.0
Tottori,2026-02-01,2026-02-22,12.0
Toyama,2026-02-01,2026-02-22,11.0
Wakayama,2026-02-01,2026-02-22,37.0
Yamagata,2026-02-01,2026-02-22,27.0
Yamaguchi,2026-02-01,2026-02-22,112.0
Yamanashi,2026-02-01,2026-02-22,14.0
