"NAME_1","RSV Cases","year","week"
"Aichi",108,2015,2015-01-04
"Aichi",179,2015,2015-01-11
"Aichi",88,2015,2015-01-18
"Aichi",75,2015,2015-01-25
"Aichi",76,2015,2015-02-01
"Aichi",39,2015,2015-02-08
"Aichi",28,2015,2015-02-15
"Aichi",21,2015,2015-02-22
"Aichi",34,2015,2015-03-01
"Aichi",30,2015,2015-03-08
"Aichi",17,2015,2015-03-15
"Aichi",30,2015,2015-03-22
"Aichi",33,2015,2015-03-29
"Aichi",14,2015,2015-04-05
"Aichi",14,2015,2015-04-12
"Aichi",11,2015,2015-04-19
"Aichi",13,2015,2015-04-26
"Aichi",12,2015,2015-05-03
"Aichi",2,2015,2015-05-10
"Aichi",6,2015,2015-05-17
"Aichi",2,2015,2015-05-24
"Aichi",4,2015,2015-05-31
"Aichi",2,2015,2015-06-07
"Aichi",1,2015,2015-06-14
"Aichi",1,2015,2015-06-21
"Aichi",5,2015,2015-06-28
"Aichi",4,2015,2015-07-05
"Aichi",4,2015,2015-07-12
"Aichi",6,2015,2015-07-19
"Aichi",7,2015,2015-07-26
"Aichi",6,2015,2015-08-02
"Aichi",5,2015,2015-08-09
"Aichi",12,2015,2015-08-16
"Aichi",9,2015,2015-08-23
"Aichi",17,2015,2015-08-30
"Aichi",24,2015,2015-09-06
"Aichi",38,2015,2015-09-13
"Aichi",53,2015,2015-09-20
"Aichi",36,2015,2015-09-27
"Aichi",89,2015,2015-10-04
"Aichi",137,2015,2015-10-11
"Aichi",154,2015,2015-10-18
"Aichi",162,2015,2015-10-25
"Aichi",214,2015,2015-11-01
"Aichi",217,2015,2015-11-08
"Aichi",258,2015,2015-11-15
"Aichi",354,2015,2015-11-22
"Aichi",355,2015,2015-11-29
"Aichi",430,2015,2015-12-06
"Aichi",460,2015,2015-12-13
"Aichi",412,2015,2015-12-20
"Aichi",345,2015,2015-12-27
"Aichi",202,2015,2016-01-03
"Aichi",268,2016,2016-01-10
"Aichi",127,2016,2016-01-17
"Aichi",109,2016,2016-01-24
"Aichi",108,2016,2016-01-31
"Aichi",58,2016,2016-02-07
"Aichi",45,2016,2016-02-14
"Aichi",36,2016,2016-02-21
"Aichi",27,2016,2016-02-28
"Aichi",42,2016,2016-03-06
"Aichi",29,2016,2016-03-13
"Aichi",32,2016,2016-03-20
"Aichi",24,2016,2016-03-27
"Aichi",21,2016,2016-04-03
"Aichi",12,2016,2016-04-10
"Aichi",21,2016,2016-04-17
"Aichi",17,2016,2016-04-24
"Aichi",17,2016,2016-05-01
"Aichi",10,2016,2016-05-08
"Aichi",13,2016,2016-05-15
"Aichi",8,2016,2016-05-22
"Aichi",17,2016,2016-05-29
"Aichi",13,2016,2016-06-05
"Aichi",8,2016,2016-06-12
"Aichi",3,2016,2016-06-19
"Aichi",16,2016,2016-06-26
"Aichi",8,2016,2016-07-03
"Aichi",5,2016,2016-07-10
"Aichi",11,2016,2016-07-17
"Aichi",9,2016,2016-07-24
"Aichi",6,2016,2016-07-31
"Aichi",16,2016,2016-08-07
"Aichi",18,2016,2016-08-14
"Aichi",18,2016,2016-08-21
"Aichi",20,2016,2016-08-28
"Aichi",40,2016,2016-09-04
"Aichi",46,2016,2016-09-11
"Aichi",107,2016,2016-09-18
"Aichi",123,2016,2016-09-25
"Aichi",212,2016,2016-10-02
"Aichi",309,2016,2016-10-09
"Aichi",319,2016,2016-10-16
"Aichi",330,2016,2016-10-23
"Aichi",282,2016,2016-10-30
"Aichi",267,2016,2016-11-06
"Aichi",245,2016,2016-11-13
"Aichi",228,2016,2016-11-20
"Aichi",195,2016,2016-11-27
"Aichi",163,2016,2016-12-04
"Aichi",171,2016,2016-12-11
"Aichi",140,2016,2016-12-18
"Aichi",102,2016,2016-12-25
"Aichi",73,2016,2017-01-01
"Aichi",81,2017,2017-01-08
"Aichi",54,2017,2017-01-15
"Aichi",50,2017,2017-01-22
"Aichi",49,2017,2017-01-29
"Aichi",47,2017,2017-02-05
"Aichi",36,2017,2017-02-12
"Aichi",31,2017,2017-02-19
"Aichi",21,2017,2017-02-26
"Aichi",29,2017,2017-03-05
"Aichi",29,2017,2017-03-12
"Aichi",15,2017,2017-03-19
"Aichi",20,2017,2017-03-26
"Aichi",19,2017,2017-04-02
"Aichi",23,2017,2017-04-09
"Aichi",42,2017,2017-04-16
"Aichi",34,2017,2017-04-23
"Aichi",23,2017,2017-04-30
"Aichi",26,2017,2017-05-07
"Aichi",40,2017,2017-05-14
"Aichi",15,2017,2017-05-21
"Aichi",20,2017,2017-05-28
"Aichi",29,2017,2017-06-04
"Aichi",39,2017,2017-06-11
"Aichi",11,2017,2017-06-18
"Aichi",14,2017,2017-06-25
"Aichi",15,2017,2017-07-02
"Aichi",37,2017,2017-07-09
"Aichi",59,2017,2017-07-16
"Aichi",67,2017,2017-07-23
"Aichi",96,2017,2017-07-30
"Aichi",175,2017,2017-08-06
"Aichi",244,2017,2017-08-13
"Aichi",262,2017,2017-08-20
"Aichi",250,2017,2017-08-27
"Aichi",387,2017,2017-09-03
"Aichi",448,2017,2017-09-10
"Aichi",487,2017,2017-09-17
"Aichi",350,2017,2017-09-24
"Aichi",341,2017,2017-10-01
"Aichi",241,2017,2017-10-08
"Aichi",185,2017,2017-10-15
"Aichi",234,2017,2017-10-22
"Aichi",243,2017,2017-10-29
"Aichi",189,2017,2017-11-05
"Aichi",165,2017,2017-11-12
"Aichi",125,2017,2017-11-19
"Aichi",102,2017,2017-11-26
"Aichi",101,2017,2017-12-03
"Aichi",123,2017,2017-12-10
"Aichi",84,2017,2017-12-17
"Aichi",88,2017,2017-12-24
"Aichi",78,2017,2017-12-31
"Aichi",52,2018,2018-01-07
"Aichi",62,2018,2018-01-14
"Aichi",63,2018,2018-01-21
"Aichi",68,2018,2018-01-28
"Aichi",56,2018,2018-02-04
"Aichi",62,2018,2018-02-11
"Aichi",42,2018,2018-02-18
"Aichi",44,2018,2018-02-25
"Aichi",34,2018,2018-03-04
"Aichi",33,2018,2018-03-11
"Aichi",32,2018,2018-03-18
"Aichi",30,2018,2018-03-25
"Aichi",32,2018,2018-04-01
"Aichi",23,2018,2018-04-08
"Aichi",30,2018,2018-04-15
"Aichi",37,2018,2018-04-22
"Aichi",41,2018,2018-04-29
"Aichi",25,2018,2018-05-06
"Aichi",28,2018,2018-05-13
"Aichi",24,2018,2018-05-20
"Aichi",33,2018,2018-05-27
"Aichi",28,2018,2018-06-03
"Aichi",18,2018,2018-06-10
"Aichi",34,2018,2018-06-17
"Aichi",27,2018,2018-06-24
"Aichi",43,2018,2018-07-01
"Aichi",39,2018,2018-07-08
"Aichi",70,2018,2018-07-15
"Aichi",79,2018,2018-07-22
"Aichi",139,2018,2018-07-29
"Aichi",211,2018,2018-08-05
"Aichi",206,2018,2018-08-12
"Aichi",239,2018,2018-08-19
"Aichi",222,2018,2018-08-26
"Aichi",283,2018,2018-09-02
"Aichi",303,2018,2018-09-09
"Aichi",342,2018,2018-09-16
