Date,Prefecture,relative.humidity,wind.speed,tavg,PM25,PM10,cases
2024/1/7,Aichi,65.28571429,2.857142857,7.8,13.76860431,19.68087564,1
2024/1/14,Aichi,65.42857143,2.914285714,4.542857143,10.44263702,15.27149186,1
2024/1/21,Aichi,72.57142857,3.171428571,6.871428571,8.519989689,12.84456914,8
2024/1/28,Aichi,65.42857143,3.885714286,4.542857143,8.578976203,13.41327476,2
2024/2/4,Aichi,61.14285714,3.042857143,6.685714286,14.07253616,19.9005745,3
2024/2/11,Aichi,66,3.314285714,5.742857143,11.97980682,17.10140432,9
2024/2/18,Aichi,67.42857143,2.428571429,9.642857143,11.04165229,16.18702233,10
2024/2/25,Aichi,82,3.028571429,10.2,10.94159012,16.31672817,10
2024/3/3,Aichi,58.28571429,4.671428571,6.585714286,14.21297794,20.93167998,18
2024/3/10,Aichi,64.57142857,3.942857143,6.657142857,16.57999997,23.68327439,30
2024/3/17,Aichi,56.85714286,3.185714286,10.01428571,21.75996044,30.3898591,49
2024/3/24,Aichi,63,4.157142857,6.7,23.15543777,33.22711478,58
2024/3/31,Aichi,71.42857143,3.057142857,13.85714286,18.02953729,25.46912139,109
2024/4/7,Aichi,66.14285714,2.857142857,15.28571429,21.70774419,30.02353625,175
2024/4/14,Aichi,65.85714286,3.028571429,16.35714286,17.73968345,25.14979705,182
2024/4/21,Aichi,60.42857143,3.385714286,18.71428571,37.52622744,48.24086481,259
2024/4/28,Aichi,75.85714286,2.614285714,18.9,17.15225476,23.45289785,298
2024/5/5,Aichi,68.42857143,3.057142857,19.04285714,16.06875825,22.01357901,226
2024/5/12,Aichi,65.42857143,4.2,18.34285714,14.24531659,20.5013271,204
2024/5/19,Aichi,65.28571429,2.871428571,19.12857143,15.00958328,21.03835228,196
2024/5/26,Aichi,62.42857143,3.8,21.7,16.95108091,23.20839009,281
2024/6/2,Aichi,77,3.5,20.6,13.42103032,19.26308758,212
2024/6/9,Aichi,62.28571429,3.228571429,22.21428571,13.08360464,18.29059543,239
2024/6/16,Aichi,70.14285714,2.742857143,24.92857143,13.19794461,18.29312898,168
2024/6/23,Aichi,78,2.5,23,15.53284237,21.75076104,171
2024/6/30,Aichi,74.85714286,2.514285714,25.7,17.90911498,24.98909997,131
2024/7/7,Aichi,70.14285714,2.614285714,29.35714286,12.23273739,17.71613544,178
2024/7/14,Aichi,77.57142857,2.314285714,27.45714286,9.673289079,14.22678861,213
2024/7/21,Aichi,78.14285714,2.342857143,28.65714286,10.19858132,14.78526369,165
2024/7/28,Aichi,65.14285714,2.671428571,31.27142857,10.9741494,15.82119026,141
2024/8/4,Aichi,61.42857143,3.771428571,31.52857143,12.18132464,17.1397213,145
2024/8/11,Aichi,61.71428571,2.928571429,31.8,11.56090437,16.27261409,112
2024/8/18,Aichi,64.28571429,3.242857143,31.58571429,10.80556023,15.52864946,56
2024/8/25,Aichi,75.57142857,2.785714286,29.78571429,10.86956908,15.49360508,41
2024/9/1,Aichi,86.28571429,2.942857143,26.52857143,9.676163033,14.54916447,33
2024/9/8,Aichi,69.57142857,2.371428571,28.91428571,14.40246479,20.09177697,35
2024/9/15,Aichi,74.57142857,2.757142857,29.4,8.333865904,12.11740954,34
2024/9/22,Aichi,72,2.6,29.78571429,8.417747313,12.37438018,32
2024/9/29,Aichi,70.42857143,2.4,25.5,12.68771104,18.31156022,27
2024/10/6,Aichi,76.14285714,2.428571429,24.74285714,10.19778736,14.54398005,32
2024/10/13,Aichi,72,2.557142857,21.28571429,10.48085477,14.82251703,30
2024/10/20,Aichi,73.57142857,2.271428571,22.41428571,10.58893396,15.17156021,30
2024/10/27,Aichi,73,2.2,20.51428571,12.08113722,17.46933296,14
2024/11/3,Aichi,77.14285714,2.8,18.51428571,10.12943311,14.63540885,13
